post_title,post_name,description,sku,images,post_parent,comment_status,downloadable,virtual,post_status,visibility,stock_status,backorders,manage_stock,meta:brand,meta:ean_number,regular_price,sale_price,weight,tax_status,gpf:brand,gpf:mpn
"York 4 x 2.5kg Black Cast Iron 1"" Plates",york-4-x-25kg black-cast-iron-1-inch-plates,"Four weight plates
Hole diameter: 1” (2.5cm)
Weight symbol engraved on the side
Weight: 2.5kg (5.5lbs)",2420,2420-4-of-2pt5kg-black-cast-iron-1-plates.jpg | 2420-4x2-5kgcldiscs-shot1.jpg | 2420-4x2-5kgcldiscs-shot2.jpg | 2420-4x2-5kgcldiscs-shot3.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961024203,22.99,,10.5,taxable,York Fitness,14961024203
York 20kg Black Cast Iron DB Set in a case,york-20kg-black-cast-irondumbbellset-in-a-case,"Types of materials used:Metal and plastic
4 x 0.5kg discs
4 x 1.25kg discs
4 x 2.5kg discs
4 x spinlock collars
2 x 14 chrome spinlock bars
Contains full colour exercise wallchart",2429,2429-20kg-ci-set-in-case-dumbells.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961024296,59.99,,22,taxable,York Fitness,14961024296
York 50kg Black Cast Iron BB/DB Set,york-50kg-black-cast-iron-bbdumbbellset,"6 x 0.5kg Discs
6 x 1.25kg
4 x 2.5kg
4 x 5kg
6 x Spinlock Collars
2 x 14"" (35.5cm) Chrome Plated Spinlock Bars
1 x 60"" (150cm) One Piece Spinlock Bar",2433,2433-48kg-cast-iron-bbdb-set.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961024333,124.99,,51.8,taxable,York Fitness,14961024333
York 20kg Black Cast Iron DB Set,york-20kg-black-cast-irondumbbellset,"The York 50kg Black Cast Iron BB/DB Set includes the following cast iron plates: 6 x 0.5kg Discs 6 x 1.25kg 4 x 2.5kg 4 x 5kg 67 x Spinlock Collars 2 x 14"" Chrome Plated Spinlock Bars 1 x 60"" One Piece Spinlock Bar. 6 x 0.5kg Discs
6 x 1.25kg
4 x 2.5kg
4 x 5kg
6 x Spinlock Collars
2 x 14"" (35.5cm) Chrome Plated Spinlock Bars
1 x 60"" (150cm) One Piece Spinlock Bar",2434,2434-20kg-db-set.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961024340,55,,21,taxable,York Fitness,14961024340
York 50kg Black Cast Iron BB/DB Set in a case with wheels,york-50kg-black-cast-iron-bbdumbbellset-in-a-case-with-wheels,"6 x 0.5kg Discs. 6 x 1.25kg
4 x 2.5kg. 4 x 5kg
6 x Spinlock Collars
2 x 14"" (35.5cm) Chrome Plated Spinlock Bars
1 x 60"" (150cm) One Piece Spinlock Bar",2435,2435-50kg-black-cast-iron-bbdb-set-in-case.jpg | ,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961024357,139.99,,54.5,taxable,York Fitness,14961024357
York 7ft Chrome Olympic Bar,york-7-foot-chrome-olympic-bar,"7ft olympic bar, chrome plated solid steel construction.  320kg maximum weight limit.",2979,2979-7ft-chrome-olympic-bar.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961029796,79.99,,20,taxable,York Fitness,14961029796
York Olympic Bulldog Collars,york-olympic-bulldog-collars,"Weight (Kg) is 1.1kg (2 collars)
Fast, easy and secure
Precision machined
Made from heavy duty aluminum
Usage for studio
Sleeve Diameter is 2"" - Olympic",2988,2988-bulldog-collars.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961029888,40,,1.21,taxable,York Fitness,14961029888
York 15kg Chrome DB Set in a case,york-15kg-chromedumbbellset-in-a-case,Key Features Set Comprises of: 4 x 0.5kg Discs. 8 x 1.25kg Discs. 4 x Spinlock Collars. 2 x 14in Chrome Spinlock Bars With Plastic Sleeve Covers. Embossed York Logo And The Weight In KG. Packs Away In Sturdy Plastic Case. Contains Full Colour Exercise Wall Chart. Item Weight 17kg.,3241,3241-15kg-chrome-db-set-in-case-case.jpg | 3241-15kg-chrome-db-set-in-case-dbs.jpg | 3241-15kg-chrome-db-set-in-case-open-case.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961032413,56.99,,17,taxable,York Fitness,14961032413
York Squat Stands,york-squat-stands,"Heavy duty 2 steel construction
Adjustable height from 110cm to 171cm
Disc storage post
150kg Max load (for the pair)
2 years parts and labour warranty",4025,4025-squat-stands-front.jpg | 4025-squat-stands-front2.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961040258,149.99,,21.8,taxable,York Fitness,14961040258
York Treadmill Lube and Walk,york-treadmill-lube-and-walk,"Essential maintenance for all treadmills
Helps keep your treadmill running smoothly
Easy to use
Removes dirt
Prolongs motor life
Prolongs belt life
No messy hands
Includes 22"" (55.9cm) applicator wand, instruction guide and a 6-month supply of lubricant",5520,5520-lube-n-walk.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961055207,16.99,,1,taxable,York Fitness,14961055207
"York 1"" Spinlock E-Z Curl Bar w/ collars",york-1-inch-spinlock-e-z-curl-bar-with-collars,"Chrome plated bar, solid steel construction. Includes spinlock collars for quick plate changes. 125kg maximum load.",6004,6004-ez-curl-bar.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961060041,19.99,,5.1,taxable,York Fitness,14961060041
"York 1"" Spinlock Close Grip Combi Bar w/collars",york-1-inch-spinlock-close-grip-combi-bar-with-collars,"Ideal for both curl and tricep work, this close grip bar is chrome plated, and of solid steel construction.  Includes spinlock collars for quick plate changes.  125kg maximum load.",6007,6007-close-grip-combi-bar.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961060072,22.99,,6,taxable,York Fitness,14961060072
"York 5' (1,52m) Standard 1"" Spinlock Barbell Bar w/collars",york-5-1-52m-standard-1-inch-spinlock-barbell-bar-with-collars,"Textured bar
5 ft long
Solid 1 inch steel construction
Heavy duty threaded bar ends
Chrome plated
Includes 2 spinlock collars
Maximum loading: 125 kg
Item weight: 6.3 kg
York Fitness 5ft Standard 1 Inch Spinlock Bar",6025,6025.jpg | 6025-6038-6053-bars.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961060256,25,,6.3,taxable,York Fitness,14961060256
"York 5' (152cm) Standard 1"" Barbell Bar",york-5-152cm-standard-1-inch-barbell-bar,"The York 5ft Chrome Knurled Bar Inner Collars is a solid knurled chromium plated bar with fixed inner collars. Chromium plated, solid steel construction
Fixed inner collar
Weight: cc-a 7.3kg (16lbs)
Maximum weight limit: 125kg (275.5lbs)
Diameter: 1"" (2.5cm)",6026,6026.jpg | 6026-6035-6054-bars.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961060263,22.99,,6.3,taxable,York Fitness,14961060263
"York 6' (182cm) Standard 1"" Barbell Bar",york-6-182cm-standard-1-inch-barbell-bar,"6ft (180cm) chrome plated bar, of solid steel construction. Includes spinlock collars for quick plate changes and added safety. 125kg maximum load.",6035,6035.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961060355,25,,7.3,taxable,York Fitness,14961060355
"York 6' (182cm) Standard 1"" Spinlock Barbell Bar w/collars",york-6-182cm-standard-1-inch-spinlock-barbell-bar-with-collars,"Textured bar
6 ft long
Solid 1 inch steel construction
Heavy duty threaded bar ends
Chrome plated
Includes 2 spinlock collars
Maximum loading: 125 kg
York Fitness 6ft Standard 1 Inch Spinlock Bar",6038,6038.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961060386,26.99,,7.2,taxable,York Fitness,14961060386
"York 80"" (2m) Standard 1"" Spinlock Barbell Bar w/collars",york-80-inch-2m-standard-1-inch-spinlock-barbell-bar-with-collars,"80inch (2m) chrome plated bar, of solid steel construction.  Includes spinlock collars for quick plate changes and added safety.  150kg maximum load.",6053,6053.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961060539,34.99,,9.3,taxable,York Fitness,14961060539
"York 80""(2m) Standard 1"" Barbell Bar",york-80-inch-2m-standard-1-inch-barbell-bar,"The York 80"" spinlock beefy bar has a chromium plated, solid steel construction and is supplied with spinlock collars for quick plate changes and added security. It has the diameter of 1"" on the ends and as such is compatible with standard weight plates. Chromium plated, solid steel construction
Includes spinlock collars
Compatible with standard weight plates
Length: 80"" (2m)
Weight Limit:150kg (331lbs)
Weight: 10.5kg (23lbs)",6054,6054.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961060546,32.99,,9.1,taxable,York Fitness,14961060546
"York Standard 1"" Spinlock Collars (Pair)",york-standard-1-inch-spinlock-collars-pair,York Spinlock Collars are sold as pairs and designed to fit standard spin lock weight bars. Priced as pairs,6089,6089-spinlock-collars.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961060898,2.99,,0.4,taxable,York Fitness,14961060898
"York 18"" Standard 1"" Dumbbell Bar (Single)",york-18-inch-standard-1-inch-dumbbell-bar-single,"The York 18 inch plain dumbbell bar is a solid steel construction dumbbell bar with fixed inner collar. It is suitable for weights with standard holes – 1” (25mm) in diameter. Steel construction
Chrome-plated
Fixed inner collars
Diameter: 1” (25mm) – standard
Length: 18” (45.7cm)",6111,6111-18-inch-plain-bar.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961061116,8.99,,2.2,taxable,York Fitness,14961061116
"York Standard 1"" Spring Collars (Pair)",york-standard-1-inch-spring-collars-pair,"The York 1” spring collars fit 1” bars and handles. They secure weight plates to increase the safety while weight lifting. The collars feature quick release mechanics for convenience of use. The collars are made of steel with plastic handles. Sold as pairs. Fit 1"" bars and handles
Secure weight plates on barbell and machines for increased safety while lifting
Steel with plastic handle
2 collars per pack",6135,6135-spring-collars.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961061352,2.5,,0.1,taxable,York Fitness,14961061352
"York Standard 1"" Vinyl Locking Collar (Pair)",york-standard-1-inch-vinyl-locking-collar-pair,Replacement vinyl collars for use with York vinyl dumbell sets,6150,6150-vinyl-locking-db-collar.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,,2.5,,,taxable,York Fitness,
York Weightlifting Straps,york-weightlifting-straps,Weightlifting straps improve your grip and protect your hands. Made from 100% cotton.,6316,6316-weightlifting-straps.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961063165,4.99,,0.07,taxable,York Fitness,14961063165
"York 16"" Standard 1"" Spinlock Dumbbell Bar (Single w/collars)",york-16-inch-standard-1-inch-spinlock-dumboxing-barbell-bar-single-with-collars,"The York 16"" Spinlock Dumbbell Bar - 1"" is a chrome plated bar with a solid steel construction. It includes spinlock collars for quick plate changes and added security.. Length 16""
Weight 2kg
",6391,6391-16-inch-spinlock-bar.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961063912,7.99,,2,taxable,York Fitness,14961063912
"York 14"" Standard 1"" Spinlock Dumbbell Bar (Single w/collars)",york-14-inch-standard-1-inch-spinlock-dumboxing-barbell-bar-single-with-collars,"The York 14"" Spinlock Dumbbell Bar - 1"" is a chrome plated bar with a solid steel construction. It includes spinlock collars for quick plate changes and added security..
Length: 14""
Sold as single",6393,6393-14-inch-spinlock-bar.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961063936,8.99,,1.8,taxable,York Fitness,14961063936
"York Standard 1"" Solid Tricep Bar",york-standard-1-inch-solid-tricep-bar,"York Fitness 1"" Solid Tricep Bar. Chrome plated, with 1"" solid steel construction. Knurled grip handles for correct hand positioning. 125kg weight limit. Approx. Weight 7kg.",6410,6410-tricep-bar.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961064100,32.99,,7,taxable,York Fitness,14961064100
York Barbell Pad - Heavy Duty,york-barbell-pad-heavy-duty,"The York Heavy Duty Barbell Pad provides perfect protection for the shoulders whilst performing squats. Protection for the shoulders whilst performing squats
Foam padded
Wipe clean surface
Suitable to use with Olympic bars",6498,6498-barbell-pad-heavy-duty.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961064988,13.99,,0.46,taxable,York Fitness,14961064988
York Barbell Pad,york-barbell-pad,"The York barbell pad provides perfect protection for the shoulders and improved comfort whilst performing squats. It is foam padded and fits 1"" (25.4mm) bars. Cushions neck when performing squats
Washable PVC surface
Foam padded
Fits 1"" (25.4mm) bars
Weight: 0.1kg (3.5oz)
Colour: red",6499,6499-barbell-pad.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961064995,10,,0.2,taxable,York Fitness,14961064995
York Exercise mat,york-exercise-mat,"Padded exercise mat with illustrated exercises printed on it.

Mats size 170cm Length x 60cm Width x 25mm Thick",6523,6523-mat-blue-side.jpg | 6523-mat-close-up-red.jpg | 6523-mat-exerciseguide.jpg | 6523-mat-red-side.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961065237,14.99,,0.8,taxable,York Fitness,14961065237
York Large Equipment Mat,york-large-equipment-mat,"Durable rubber mat for use under equipment such as treadmills, cycles or multigyms.

Size: 182 x 76cm.",6526,6526-large-equipment-mat.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961065268,29.99,,2.5,taxable,York Fitness,14961065268
York Ultimate Folding Exercise Mat,york-ultimate-folding-exercise-mat,"The York Ultimate Folding Exercise Mat is a high quality mat that is perfect for floor based workouts such as yoga, pilates, stretching and meditation. It features 2"" thick foam padding for supreme comfort and a tri-fold system for efficient storage. The mat is easy to wipe clean and has two handles for portability making it perfect for exercise classes at the gym. 2"" thick foam padding for a comfortable workout
Easy wipe clean surface
Tri-fold system for efficient storage
Two handles for easy portability
183 x 61 x 5cm",6539,6539-ultimate-folding-exercise-mat.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961065398,26.99,,3.2,taxable,York Fitness,14961065398
York Adjustable Lumbar Support & Pad,york-adjustable-lumbar-support-pad,"3mm Thermocel insulating Neoprene material
Provides warmth, support and compression
Built in additional support Pad with 20cm wide double wrap lumbar belt for additional adjustment
Retains body heat
Stimulates blood flow
Lightweight comfort fit
Breathable
Quick drying
Easy adjustable one size fits all
Machine washable
Waist Size suitable 66cm to 106cm (26"" - 43"")",6635,6635-adjustable-lumbar-support-and-pad.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961066357,16.99,,0.38,taxable,York Fitness,14961066357
York Adjustable Wrist Support,york-adjustable-wrist-support,"3mm Thermocel insulating Neoprene material
Provides warmth, support and compression
Retains body heat
Stimulates blood flow
Lightweight comfort fit
Breathable
Quick drying
Easy adjustable one size fits all
Machine washable
Wrist size suitable 13cm to 21.5cm
Item weight 0.06kg",6636,6636-adj-wrist-support-blk-silver.bmp,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961066364,4.99,,0.06,taxable,York Fitness,14961066364
York Adjustable Ankle Support,york-adjustable-ankle-support,"The York adjustable ankle support provides enhanced lateral support, stability and warmth to ensure safety while exercising. It utilises a 3mm Thermocel insulating Neoprene fabric which is quick-drying, breathable and comfortable. The product is machine-washable.",6637,6637-adj-ankle-support-blk-silver.bmp,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961066371,7.99,,0.07,taxable,York Fitness,14961066371
York Adjustable Lumbar Support,york-adjustable-lumbar-support,"3mm Thermocel insulating Neoprene material
Provides warmth, support and compression
Built in additional support Pad with 20cm wide double wrap lumbar belt for additional adjustment
Retains body heat
Stimulates blood flow
Lightweight comfort fit
Breathable
Quick drying
Easy adjustable one size fits all
Machine washable
Waist Size suitable 66cm to 106cm (26"" - 43"")",6638,6638-adjustable-lumbar-support.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961066388,14.99,,0.18,taxable,York Fitness,14961066388
York Adjustable Knee Support,york-adjustable-knee-support,"This adjustable knee support is ideal for protecting you while you exercise. Designed to fit most sizes and machine washable for easy care, a must have accessory for all serious athletes. Provides compression, support, warmth and protection.
Full wrap style fits most sizes.
Easy fit velcro fastening.
Machine washable.",6639,6639-adj-knee-support.bmp,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961066395,12.99,,0.18,taxable,York Fitness,14961066395
York Adjustable Stabilised Knee Support,york-adjustable-stabilised-knee-support,"The York adjustable stabilised knee support ensures excellent protection during workouts. Its metal stabilisers provide extra lateral knee support and compression warmth allowing for performing exercises with decreased risk of knee injury. The knee support features 3mm Neoprene with easy to use Velcro fastening and is offered in one size fitting all. 3mm Thermocel insulating Neoprene material
Provides warmth, support and compression
Retains body heat
Stimulates blood flow
Lightweight
Comfort fit
Breathable
Quick-drying
Easily adjustable
One size fits all
Machine washable
Weight: 0.27kg (0.6lbs)",6640,6640-adj-stab-knee-support.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961066401,16.99,,0.26,taxable,York Fitness,14961066401
York Floor Guard w/edge - 4 tiles,york-floor-guard-with-edge-4-tiles,"4 interlocking pieces, which provide exellent protection for floors when used underneath equipment such as treadmills cycles or multigyms. Covers 1.48sq.m / 16 sq.ft",6700,6700-floorguard.jpg | 6700-floor-guards-1.jpg | 6700-floor-guards-2.jpg | 6700-floor-guard-wedge.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961067002,17.99,,2,taxable,York Fitness,14961067002
York 140kg Cast Iron Olympic Set,york-140kg-cast-iron-olympic-set,"The York 140kg Olympic weight set is a perfect choice for any home gym. This complete Olympic set in stylish Hammertone finish includes a 7ft. Olympic width bar with machine bored 2” holes, 16 assorted premium quality cast iron weight plates for a completely customisable workout and two cast iron spring collars. The weights with spring collars are easy and safe to change allowing you to adjust the set to your current training requirements. This classic weightlifting set with its durable finish is built to look great for years and includes everything you need to have a secure and versatile training.",7377,7377-140kg-olympic-kit-1.jpg | 7377-140kg-olympic-kit-2.jpg | 7377-140kg-olympic-kit-3.jpg | 7377-140kg-olympic-kit-4.jpg | 7377-140kg-olympic-kit-5.jpg | 7377-140kg-olympic-kit-6.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961073775,370,,142,taxable,York Fitness,14961073775
York 1 x 1.25kg Cast Iron Olympic Plates (Hammertone),york-125kg-cast-iron-olympic-plates-hammertone,"The York 1.25kg Hammertone cast iron Olympic plate is a combination of superb quality and durability thanks to the dark grey Hammertone finish. With its machine bored 2” hole, the plate will fit any York Olympic bar. This plate is sold single. Dark grey Hammertone finish
2” hole suitable for any York Olympic bar
Weight: 1.25kg (2.75lbs)
Sold as single",7378,7378-hammertone-cast-iron-olympic-plate-1pt25kg.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961073782,4,,1.25,taxable,York Fitness,14961073782
York 1 x 2.5kg Cast Iron Olympic Plates (Hammertone),york-25kg-cast-iron-olympic-plates-hammertone,"The York 2.5kg Hammertone cast iron Olympic plate offers premium quality in conjunction with added durability. The plate features dark grey Hammertone finish and a machine bored 2"" hole that is compatible with any York Olympic bar. Discs are sold as singles. Premium quality cast iron plates with a machine bored 2"" hole
Dark grey Hammertone finish for enhanced durability
Weight: 2.5kg
Compatible with any York Olympic bar
Discs are sold as singles",7379,7379-hammertone-cast-iron-olympic-plate-2pt5kg.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961073799,7,,2.5,taxable,York Fitness,14961073799
York 1 x 5kg Cast Iron Olympic Plates (Hammertone),york-5kg-cast-iron-olympic-plates-hammertone,"The York 5kg Hammertone cast iron Olympic plate offers premium quality in conjunction with added durability. The plate features dark grey Hammertone finish and a machine bored 2"" hole that is compatible with any York Olympic bar. Discs are sold as singles. Premium quality cast iron plates with a machine bored 2"" hole
Dark grey Hammertone finish for enhanced durability
Weight: 5kg
Compatible with any York Olympic bar
Discs are sold as singles",7380,7380-hammertone-cast-iron-olympic-plate-5kg.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961073805,13,,5,taxable,York Fitness,14961073805
York 1 x 10kg Cast Iron Olympic Plates (Hammertone),york-10kg-cast-iron-olympic-plates-hammertone,"The York 10kg Hammertone cast iron Olympic plate offers premium quality in conjunction with added durability. The plate features dark grey Hammertone finish and a machine bored 2"" hole that is compatible with any York Olympic bar. Discs are sold as singles. Premium quality cast iron plates with a machine bored 2"" hole
Dark grey Hammertone finish for enhanced durability
Weight: 10kg
Compatible with any York Olympic bar
Discs are sold as singles",7381,7381-hammertone-cast-iron-olympic-plate-10kg.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961073812,25,,10,taxable,York Fitness,14961073812
York 1 x 15kg Cast Iron Olympic Plates (Hammertone),york-15kg-cast-iron-olympic-plates-hammertone,"The York 15kg Hammertone cast iron Olympic plate offers premium quality in conjunction with added durability. The plate features dark grey Hammertone finish and a machine bored 2"" hole that is compatible with any York Olympic bar. Discs are sold as singles. Premium quality cast iron plates with a machine bored 2"" hole
Dark grey Hammertone finish for enhanced durability
Weight: 15kg
Compatible with any York Olympic bar
Discs are sold as singles",7382,7382-hammertone-cast-iron-olympic-plate-15kg.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961073829,37,,15,taxable,York Fitness,14961073829
York 1 x 20kg Cast Iron Olympic Plates (Hammertone),york-20kg-cast-iron-olympic-plates-hammertone,"The York 20kg Hammertone cast iron Olympic plate offers premium quality in conjunction with added durability. The plate features dark grey Hammertone finish and a machine bored 2"" hole that is compatible with any York Olympic bar. Discs are sold as singles. Premium quality cast iron plates with a machine bored 2"" hole
Dark grey Hammertone finish for enhanced durability
Weight: 20kg
Compatible with any York Olympic bar
Discs are sold as singles",7383,7383-hammertone-cast-iron-olympic-plate-20kg.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961073836,49.99,,20.5,taxable,York Fitness,14961073836
York 1 x 25kg Cast Iron Olympic Plates (Hammertone),york-25kg-cast-iron-olympic-plates-hammertone,"The York 25kg Hammertone cast iron Olympic plate offers premium quality in conjunction with added durability. The plate features dark grey Hammertone finish and a machine bored 2"" hole that is compatible with any York Olympic bar. Discs are sold as singles. Premium quality cast iron plates with a machine bored 2"" hole
Dark grey Hammertone finish for enhanced durability
Weight: 25kg
Compatible with any York Olympic bar
Discs are sold as singles",7384,7384-hammertone-cast-iron-olympic-plate-25kg.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961073843,62.99,,26,taxable,York Fitness,14961073843
York Chest Transmitter / Strap - Poly Bag,york-chest-transmitter-strap-poly-bag,"The York Chest Strap and Transmitter is designed for use with York Fitness equipment containing a built-in wireless heart rate receiver. The heart rate is accurately measured, transmitted to the equipment and displayed on the screen.",8414,8414-hr-monitor.jpg | 8414-transmitter-002-01.jpg,0,closed,no,no,draft,hidden, instock ,no,no,York Fitness,14961084146,30.62,,0.08,taxable,York Fitness,14961084146
